word,memory,syn,ant,type
Aspiration,抱負,Ambition,Apathy,Elite
Assemble,集合。雙S,Gather,Scatter,Core
Assiduous,勤勉的。雙S,Diligent,Lazy,Elite
Assistance,幫助。雙S -ance,Help,Hinder,Core
Astonish,使驚訝,Amaze,Bore,Core
Asunder,分離地/化為碎片,Apart,Together,Elite
Attached,附帶的/依戀的,Connected,Detached,Core
Attempt,嘗試/企圖,Try,Give up,Core
Audacious,大膽,Bold,Timid,Elite
Authentic,真實的,Real,FALSE,Elite
Available,可得到的,Ready,Busy,Core
Average,平均。中間有-e-,Normal,Extreme,Core
Avoid,避免,Shun,Face,Core
Avowed,公開聲明的,Declared,Secret,Elite
Awkward,w-k-w。左右為難很尷尬,Clumsy,Graceful,Elite
Banish,驅逐出境,Expel,Welcome,Core
Bargain,gain (得到) 了便宜貨,Deal,Overprice,Core
Barren,荒蕪的。雙R,Infertile,Fertile,Elite
Beautiful,美麗的。注意 -eau- 拼寫,Lovely,Ugly,Core
Because,因為。拼寫容易錯,Since,N/A,Core
Beck,召喚/小河,Signal,N/A,Elite
Believe,相信。i 在 e 前,Trust,Doubt,Core
Belligerent,好鬥的/挑釁的,Hostile,Peaceful,Elite
Bemused,困惑的,Confused,Clear,Elite
Benefit,利益/好處,Advantage,Harm,Core
Benevolent,仁慈的。Ben=好,Kind,Malevolent,Elite
Besieged,被圍困的,Surrounded,Free,Elite
Betray,背叛,Deceive,Loyal,Core
Bewilder,使困惑,Confuse,Enlighten,Elite
Bewildered,困惑的,Puzzled,Aware,Core
Bicycle,自行車。注意中間是 y,Cycle,N/A,Core
Bizarre,雙R。奇異的怪胎,Strange,Ordinary,Elite
Boisterous,喧鬧,Noisy,Quiet,Elite
Boundary,邊界。注意-ary,Border,Center,Core
Boycott,抵制。雙T,Reject,Accept,Elite
Brerevity,簡潔,Shortness,Length,Elite
Brief,簡短。i在e前,Short,Long,Core
Bruise,瘀青。-ui-拼寫,Contusion,Heal,Core
Brusque,唐突的/無禮的,Abrupt,Polite,Elite
Brutal,殘忍的,Cruel,Kind,Core
Burden,負擔,Load,Relief,Core
Business,生意/事務。Busy 的名詞,Trade,N/A,Core
Calamity,災難/不幸,Disaster,Blessing,Elite
Callous,冷酷,Heartless,Kind,Elite
Camouflage,偽裝。-ou-拼寫,Disguise,Reveal,Elite
Candidate,候選人。-idate,Applicant,N/A,Core
Candour,坦率,Honesty,Deceit,Elite
Capricious,反覆無常,Fickle,Steady,Elite
Captivate,著迷,Charm,Repel,Elite
Careering,猛衝/疾馳,Racing,Stopping,Elite
Casualty,傷亡,Victim,Survivor,Elite
Catastrophe,大災難,Disaster,Blessing,Elite
Category,類別。注意中間是-e-,Class,Individual,Core
Caulking,填縫,Sealing,Opening,Elite
Caution,小心/警告,Warning,Carelessness,Core
Cavalry,騎兵。注意不要拼成Calvary,Horsemen,Infantry,Elite
Cease,停止,Stop,Start,Core
Cemetery,墓地。全是-e-的土地,Graveyard,Cradle,Elite
Chaos,混亂。Ch發k音,Disorder,Order,Elite
Character,性格。Ch發k音,Nature,N/A,Core
Charred,燒焦的,Burnt,Fresh,Core
Chivalrous,有騎士風度的,Gallant,Rude,Elite
Choreographer,編舞者,Dancemaker,N/A,Elite
Chronological,按時間順序,Timed,Random,Elite
Clemency,仁慈/寬厚,Mercy,Severity,Elite
Clumsy,笨拙的,Awkward,Graceful,Core
Coarse,粗糙的。不是 Course,Rough,Smooth,Core
Coax,哄騙/勸誘,Persuade,Force,Elite
Coincide,巧合,Match,Differ,Elite
College,學院。注意字尾 -ege,School,N/A,Core
Colossal,巨大的。一L雙S,Huge,Tiny,Elite
Colour,顏色。英式拼寫有 u,Hue,N/A,Core
Column,柱子。末尾有-n,Pillar,N/A,Core
Combination,結合/組合,Mixture,Single,Core
Commemorate,雙M。紀念,Honour,Forget,Elite
Commence,開始。雙M,Begin,Finish,Elite
Committee,2M 2T 2E。委員會,Council,Individual,Elite
Communicate,溝通。雙M,Convey,Silence,Core
Community,社區。雙M,Society,Solitude,Core
Companion,同伴/伴侶,Partner,Stranger,Core
Company,公司/陪伴,Firm,Solitude,Core
Comparison,比較,Contrast,N/A,Core
Compel,強迫,Force,Allow,Elite
Compete,競爭,Contest,Surrender,Core
Competition,競爭。注意中間的 e,Contest,N/A,Core
Complacent,自滿,Smug,Humble,Elite
Completely,完全地,Totally,Partly,Core
Complex,複雜的,Intricate,Simple,Core
Composition,作文/結構,Creation,N/A,Core
Comprehend,理解,Understand,Confuse,Elite
Compulsory,強制,Required,Optional,Core
Comrade,同志/夥伴,Friend,Enemy,Core
Conceited,自負的/驕傲的,Vain,Humble,Elite
Concentrated,集中的/濃縮的,Focused,Diluted,Core
Conclude,結論/結束,Finish,Start,Core
Conclusion,結論。注意 -sion,End,Beginning,Core
Condemn,譴責/宣判。末尾有 n,Criticise,Praise,Elite
Conferred,授予/商討。雙R,Granted,Taken,Elite
Confine,限制/禁閉,Limit,Free,Core
Conscience,Science前有Con。良心,Morals,Immorality,Elite
Consent,同意/贊成,Agreement,Refusal,Core
Consume,消耗/吃喝,Eat,Produce,Core
Contagious,傳染性,Catching,Safe,Elite
Contemporary,當代的。Con-temp,Modern,Old,Elite
Contempt,輕視/蔑視,Scorn,Respect,Elite
Content,滿意的/內容,Satisfied,Unhappy,Core
Contest,比賽/爭論,Competition,Agreement,Core
Contract,合約/收縮,Agreement,Expand,Core
Contribute,貢獻。注意-ute字尾,Donate,Take,Core
Convenience,方便。-ience,Comfort,Difficulty,Core
Conventional,傳統的/常規的,Traditional,Unusual,Elite
Convert,轉換/改變,Change,Keep,Core
Convey,傳達/運送,Transport,Receive,Elite
Convict,囚犯/宣判有罪,Prisoner,Acquit,Core
Convince,說服,Persuade,Dissuade,Core
Correct,正確的/糾正,Accurate,Wrong,Core
Counterfeit,偽造。-ei-拼寫,Fake,Genuine,Elite
Courteous,有禮貌。注意-ou-,Polite,Rude,Elite
Covert,秘密的/隱密的。像Cover,Secret,Open,Elite
Covet,貪圖/渴望,Desire,Dislike,Elite
Coy,羞怯的,Shy,Bold,Elite
Credible,可信,Believable,FALSE,Core
Criticise,批評。-cise,Condemn,Praise,Core
Cultivate,耕種/培養,Grow,Destroy,Core
Curb,控制/路邊。抑制情緒,Restrain,Release,Elite
Curiosity,好奇心。無中間-u-,Inquiry,Indifference,Core
Curt,簡短而失禮的,Abrupt,Polite,Elite
Custom,習俗/海關,Tradition,Habit,Core
Cynical,憤世嫉俗,Skeptical,Trusting,Elite
Debate,辯論/爭論,Argue,Agreement,Core
Debrief,盤問/彙報,Question,Ignore,Elite
Deceit,欺騙(名詞)。e在i前,Deception,Honesty,Elite
Declare,宣佈/聲明,Announce,Hide,Core
Decline,下降/拒絕,Decrease,Accept,Core
Deficiency,缺乏,Lack,Surplus,Elite
Definite,明確。注意中間是-i-,Certain,Vague,Core
Demolished,拆除/毀壞,Destroyed,Built,Core
Deny,否認/拒絕,Reject,Admit,Core
Deposit,存款/堆積物,Place,Withdraw,Core
Depot,倉庫/站。t不發音,Storehouse,N/A,Core
Deprive,剝奪,Take,Give,Elite
Derelict,荒廢的/被棄置的,Abandoned,Maintained,Elite
Description,描述。注意是-scrip-,Account,N/A,Core
Despair,絕望,Hopelessness,Hope,Core
Desperate,絕望。中間是e,Hopeless,Confident,Core
Despise,輕視/厭惡,Hate,Admire,Elite
Destitute,赤貧的/窮困落魄,Poor,Wealthy,Elite
Deteriorate,惡化,Worsen,Improve,Elite
Devastate,破壞,Destroy,Build,Elite
Develop,發展。末尾無-e,Grow,Stagnate,Core
Devote,奉獻/致力於,Dedicate,Ignore,Core
Dictionary,字典。-ary,Lexicon,N/A,Core
Digest,消化/文摘,Absorb,Eject,Core
Dilapidated,破舊的/倒塌的,Run-down,New,Elite
Diligent,勤奮,Hardworking,Lazy,Core
Diluted,稀釋的,Weakened,Strong,Core
Diminish,減少,Reduce,Increase,Core
Din,嘈雜聲,Noise,Silence,Elite
Disarray,混亂/不整潔,Disorder,Order,Elite
Disastrous,災難性。無中間-e-,Terrible,Lucky,Elite
Discern,辨別。-sc-拼寫,Notice,Miss,Elite
Disclose,透露/揭發,Reveal,Hide,Elite
Discrepancy,差異,Difference,Match,Elite
Dismal,憂鬱的/淒涼的,Gloomy,Bright,Elite
Disperse,分散/散開,Scatter,Gather,Elite
Dispute,爭論/爭執,Argument,Agreement,Core
Distinguished,卓越的/著名的,Famous,Unknown,Core
Distress,痛苦/危難,Suffering,Comfort,Core
Divine,神聖的/非凡的,Holy,Earthly,Elite
Domestic,家庭的/國內的,Home,Foreign,Core
Dose,劑量/一劑,Amount,N/A,Core
Doubt,懷疑。b不發音,Uncertainty,Trust,Core
Drought,乾旱。-ought,Dry,Flood,Core
Dwelling,住處,Home,N/A,Core
Eager,渴望,Keen,Reluctant,Core
Earnest,認真的/真誠的,Serious,Frivolous,Core
Efficient,有效率。雙F,Effective,Lazy,Core
Elect,選舉/選擇,Choose,Reject,Core
Elusive,難以捉摸,Hidden,Clear,Elite
Emancipate,解放,Free,Enslave,Elite
Embarrass,尷尬。雙R雙S,Abash,Comfort,Elite
Embrace,擁抱/包含,Hug,Exclude,Core
Empire,帝國,Kingdom,N/A,Core
Employ,僱用/使用,Hire,Fire,Core
Endeavour,努力(英式拼寫-our),Effort,Laziness,Elite
Endurance,忍耐,Stamina,Weakness,Core
Endure,忍受,Last,Quit,Core
Enigma,謎團,Mystery,Fact,Elite
Enormous,巨大的,Huge,Tiny,Core
Enterprise,企業/進取心,Business,N/A,Core
Enthusiastic,熱衷,Eager,Apathetic,Elite
Entirely,完全地,Totally,Partly,Core
Environment,環境。中間有-n-,Surroundings,N/A,Core
Equanimity,平靜,Calm,Agitation,Elite
Equipment,裝備(名詞),Gear,N/A,Core
Equipped,裝備。雙P,Fitted,Unprepared,Core
Erect,垂直的/豎立,Upright,Flat,Core
Especially,尤其。注意是-espe-,Particularly,N/A,Core
Estimate,估計/估價,Guess,N/A,Core
Evaluation,評估,Assessment,N/A,Core
Exaggerate,誇張。雙G,Overstate,Understate,Elite
Excitement,激動/興奮。注意中間有-e-,Thrill,Boredom,Core
Exciting,令人興奮的,Thrilling,Dull,Core
Exclaim,大聲呼喊,Shout,Whisper,Core
Exhausted,筋疲力竭,Tired,Fresh,Core
Existence,存在。全是-e-。注意字尾-ence,Living,Death,Elite
Expectation,期待,Hope,N/A,Core
Expel,驅逐/開除。只有一個L,Banish,Welcome,Elite
Extended,延伸的/長期的,Long,Short,Core
Extremely,極端地。注意字尾-ly,Very,Mildly,Core
Facade,正面/假象,Front,Back,Elite
Fallacy,謬誤,Error,Truth,Elite
Familiar,熟悉。-liar結尾,Known,Strange,Core
Fatal,致命的。Fati (命運) 決定死亡,Deadly,Harmless,Core
Fatigue,疲勞。注意-u-不發音,Tiredness,Energy,Elite
Favourite,最喜愛的。英式拼寫有-u-,Preferred,Hated,Core
Feasible,可行的,Possible,Impossible,Elite
Fertile,肥沃的。與植物生長有關,Productive,Barren,Elite
Flawless,完美的/無瑕的,Perfect,Faulty,Core
Flee,逃跑。雙E,Escape,Stay,Core
Fleet,艦隊/快速的,Group,Slow,Core
Foe,敵人/仇敵,Enemy,Ally,Core
Forbid,禁止/不許,Prohibit,Allow,Core
Foreign,外國。注意-e-在-i-前,Alien,Native,Core
Fragment,碎片/片段,Piece,Whole,Core
Fragrant,芬芳的。注意字尾-ant,Scented,Smelly,Elite
Frequent,頻繁的。注意-que-,Often,Rare,Core
Frequently,頻繁。注意-que-音,Often,Seldom,Core
Frivolous,輕浮,Silly,Serious,Elite
Futility,徒勞,Useless,Success,Elite
Garment,衣服/外衣,Clothing,N/A,Core
Government,政府。注意中間有-n-,Authority,Anarchy,Core
Grate,磨碎/壁爐。與Great同音,Shred,N/A,Core
Gratitude,感激。Grateful的名詞,Thanks,Ingratitude,Core
Grave,嚴重的/墳墓,Serious,Trivial,Core
Gregarious,社交的,Social,Lonely,Elite
Grieve,悲傷/哀悼。i在e前,Mourn,Rejoice,Elite
Gullible,易受騙。雙L,Naive,Wise,Elite
Halt,停止/中止,Stop,Start,Core
Handkerchief,手帕。D不發音，像Hand-Ker-Chief,Tissue,N/A,Core
Haphazard,隨意,Random,Planned,Elite
Harass,一R雙S。騷擾,Annoy,Assist,Elite
Hasty,倉促的/草率的,Quick,Slow,Core
Hereditary,遺傳,Genetic,Acquired,Elite
Idiosyncrasy,癖好,Habit,Norm,Elite
Illegible,字跡模糊。雙L,Unreadable,Clear,Elite
Imitate,模仿/仿效,Copy,Lead,Core
Immediate,立即。雙M。-ate字尾,Instant,Delayed,Core
Imminent,逼近。雙M,Approaching,Distant,Elite
Impediment,障礙,Hurdle,Help,Elite
Imperative,極重要,Vital,Trivial,Elite
Impudent,無理的/魯莽的,Rude,Polite,Elite
In fact,事實上。兩個字,Actually,Possibly,Core
In front,在前面。兩個字,Ahead,Behind,Core
Inaudible,聽不見的,Silent,Loud,Elite
Inaugural,就職的/開幕的,Opening,Final,Elite
Inaugurate,舉行就職典禮,Begin,End,Elite
Incentive,動力,Motivation,Deterrent,Elite
Incision,切口/切開。-sion字尾,Cut,N/A,Elite
Inconspicuous,不顯眼的。-sc-拼寫,Hidden,Obvious,Elite
Incorrigible,無可救藥,Hopeless,Fixed,Elite
Indevour,努力(Endeavour),Effort,Lazy,Elite
Indispensable,不可或缺,Vital,Extra,Elite
Individual,個人/獨特的。注意-uid-,Single,Group,Core
Inevitable,不可避免,Sure,Unlikely,Elite
Inference,推斷,Deduction,Fact,Elite
Innate,天生。雙N,Natural,Learned,Elite
Inquisitive,好奇,Curious,Bored,Core
Integrity,正直,Honesty,Deceit,Elite
Intense,劇烈的/強烈的,Extreme,Mild,Core
Intention,意圖/目的,Purpose,Accident,Core
Interested,感興趣的,Keen,Bored,Core
Interfere,干涉。中間全是-e-,Meddle,Assist,Elite
Interior,內部的,Inner,Exterior,Core
Interpret,口譯/解釋,Translate,Confuse,Core
Interrogate,審問/質問。雙R,Question,Ignore,Elite
Interrupt,打斷。雙R,Disrupt,Continue,Core
Intricate,複雜,Complex,Simple,Elite
Invalid,無效的/病弱者,Weak,Valid,Core
Irascible,易怒,Angry,Calm,Elite
Jovial,愉快的,Happy,Sad,Core
Judicious,明智,Wise,Foolish,Elite
Justice,正義/司法,Fairness,Injustice,Core
Labour,勞動/勞工。英式-our,Work,Leisure,Core
Lament,哀悼/悲嘆,Mourn,Celebrate,Elite
Language,語言。注意-uage結尾,Speech,Silence,Core
Latter,後者的。雙T,Second,Former,Core
Lean,傾斜/瘦的,Thin,Fat,Core
Leisure,休閒。注意-ei-拼寫,Relax,Work,Core
Lenient,寬大的/仁慈的,Mercy,Severe,Elite
Lethargic,懶散,Lazy,Active,Elite
Liberal,自由的/慷慨的,Open,Narrow,Core
Liberty,自由,Freedom,Slavery,Core
Library,圖書館。注意有兩個-r-,N/A,N/A,Core
Lightning,閃電。沒有中間的-e-,Flash,Darkness,Core
Limit,限制/限度,Border,Endless,Core
Linger,逗留/緩緩流逝,Stay,Leave,Core
Lodge,存放/小屋/旅館,Stay,Leave,Core
Loneliness,孤獨。注意y變i,Solitude,Company,Core
Loquacious,多話,Talkative,Silent,Elite
Loyal,忠誠的,Faithful,Treacherous,Core
Lucrative,賺錢的,Profitable,Loss,Elite
Magnanimous,寬宏大量,Noble,Mean,Elite
Majestic,雄偉的/莊嚴的,Grand,Modest,Core
Malady,疾病/弊端,Illness,Health,Elite
Malleable,可塑的。雙L,Flexible,Rigid,Elite
Margin,邊緣/餘裕,Edge,Center,Core
Mariner,水手/船員,Sailor,N/A,Elite
Marvellous,奇妙。雙L。-ous結尾,Wonderful,Awful,Core
Matte,無光的/啞色的,Dull,Shiny,Core
Maximum,最大值的,Most,Minimum,Core
Meagre,貧乏的/不足的,Scant,Ample,Elite
Meant,意思(Mean的過去式),N/A,N/A,Core
Melancholy,憂鬱,Sad,Happy,Elite
Merchant,商人。Merc-與貿易有關,Trader,N/A,Core
Mercy,仁慈/寬恕,Clemency,Cruelty,Core
Meticulous,一絲不苟,Precise,Careless,Elite
Minimum,最小值的,Least,Maximum,Core
Mischievous,頑皮。注意-ous前無-i,Naughty,Good,Elite
Moderate,適度的/中等的,Average,Extreme,Core
Modest,謙虛的,Humble,Vain,Core
Monotonous,單調,Boring,Varied,Core
Moral,道德的/寓意,Ethical,Immoral,Core
Mortal,會死的/凡人的,Deadly,Immortal,Core
Muscle,肌肉。注意-sc-拼寫,Strength,Weakness,Core
Mysterious,神秘的。注意-y-拼寫,Strange,Plain,Core
Nauseous,噁心的。注意-se-ous,Sick,Healthy,Elite
Neat,整潔的,Tidy,Messy,Core
Necessary,1隻貓2隻襪子(1C 2S),Essential,Optional,Core
Neighbour,鄰居。注意-eigh-音,Friend,Stranger,Core
Nimble,敏捷的/伶俐的,Agile,Clumsy,Elite
No one,沒有人。兩個字,Nobody,Everyone,Core
Nostalgia,懷舊,Longing,Future,Elite
Nuisance,討厭的人。-ui-拼寫,Annoyance,Pleasure,Elite
Nurseryman,苗圃人員/園丁,Gardener,N/A,Core
Oath,誓言/宣誓,Pledge,N/A,Elite
Obdurate,頑固,Stubborn,Flexible,Elite
Objection,反對/異議,Challenge,Approval,Core
Oblige,被迫/必須/幫忙,Force,Free,Core
Oblivious,遺忘,Unaware,Mindful,Elite
Obscure,模糊的/難解的,Vague,Clear,Elite
Obsequious,諂媚,Fawning,Proud,Elite
Obstinate,頑固的。11+極常考,Stubborn,Flexible,Elite
Occupied,被佔用的。y變i,Busy,Free,Core
Occupy,雙C。佔領,Inhabit,Vacate,Core
Occur,雙C。發生,Happen,Cease,Core
Odour,氣味。英式-our,Scent,N/A,Core
Offend,冒犯/進攻,Insult,Please,Core
Omen,預兆/前兆,Sign,N/A,Elite
Ominous,不祥,Threatening,Lucky,Elite
Opportunity,機會。雙P,Chance,Obstacle,Core
Oppose,反對。雙P,Resist,Support,Core
Oppress,壓迫/折磨。雙P雙S,Tyrannize,Free,Elite
Option,選擇,Choice,N/A,Core
Ordeal,嚴峻考驗/磨難,Trial,Comfort,Elite
Origin,起源/出身,Source,End,Core
Ornate,華麗,Fancy,Plain,Elite
Orthodontist,牙齒矯正醫師,Dentist,N/A,Elite
Ostentatious,炫耀的/賣弄的,Showy,Modest,Elite
Paid,已付錢。Pay的過去式,N/A,N/A,Core
Painstaking,辛苦的/勤勉的,Thorough,Lazy,Elite
Palaeontologist,古生物學家,N/A,N/A,Elite
Parallel,平行的。兩條L就是平行的,Even,Crooked,Core
Parliament,議會。注意中間有-ia-,Council,Anarchy,Elite
Passive,被動的,Inactive,Active,Core
Pasture,牧場/草地,Meadow,N/A,Core
Peak,頂峰。與Peek(偷看)同音,Summit,Bottom,Core
Peculiar,奇怪的/特有的,Odd,Normal,Core
Perceive,察覺。e在i前,Notice,Ignore,Elite
Peril,危險,Danger,Safety,Elite
Perilous,危險的,Dangerous,Safe,Elite
Perish,腐爛/死亡,Die,Survive,Core
Permit,允許,Allow,Forbid,Core
Perpetual,永久,Eternal,Brief,Elite
Perplexed,困惑的,Puzzled,Clear,Elite
Persuade,說服。注意-ua-拼寫,Convince,Dissuade,Elite
Physical,身體。注意-ph-與-y-,Bodily,Mental,Core
Physiotherapy,物理治療,Treatment,N/A,Elite
Pigment,顏料/色素,Colour,N/A,Core
Pioneer,先驅/拓荒者,Leader,Follower,Core
Placid,平靜的/溫和的,Calm,Stormy,Elite
Plausible,合理,Likely,Absurd,Elite
Pledge,保證/誓言,Promise,N/A,Core
Plume,羽毛/羽飾,Feather,N/A,Core
Plunder,搶劫/掠奪,Loot,Gift,Elite
Plunge,跳入/驟降,Dive,Rise,Core
Polarity,極性,Difference,N/A,Elite
Pompous,自大的/浮誇的,Arrogant,Humble,Elite
Poultry,家禽,Birds,N/A,Core
Precarious,危險,Unsafe,Secure,Elite
Prejudice,偏見。注意-dice字尾,Bias,Fairness,Elite
Present,禮物/現在/出席,Gift,Absent,Core
Privilege,特權。兩個I兩個E,Right,Disadvantage,Elite
Probably,大概/或許,Likely,Unlikely,Core
Proclaim,宣佈/公告,Declare,Hide,Core
Procure,獲得/取得,Obtain,Lose,Elite
Profession,職業。一F雙S,Career,Hobby,Core
Profit,利潤/好處,Gain,Loss,Core
Programme,程序/節目。雙M,Schedule,N/A,Core
Prohibit,禁止,Forbid,Allow,Core
Prominent,著名的/顯眼的,Famous,Obscure,Elite
Promote,晉升/推廣,Advance,Demote,Core
Prompt,迅速的/提醒,Quick,Slow,Core
Pronunciation,發音。中間沒有-o-,Diction,N/A,Elite
Proportion,比例/部分,Ratio,N/A,Core
Prosperous,繁榮的,Wealthy,Poor,Core
Provoke,激怒/挑釁,Annoy,Soothe,Core
Public,公眾的,Social,Private,Core
Punctual,準時的,On time,Late,Core
Puncture,刺穿/小洞,Hole,N/A,Core
Purpose,目的/意圖,Intention,Accident,Core
Quaint,古雅的/奇特有趣的,Charming,Modern,Elite
Quell,鎮壓/平息。雙L,Quiet,Stir,Elite
Quench,解渴/熄滅,Satisfy,N/A,Core
Queue,排隊。全是元音,Line,Disperse,Core
Quiver,抖動/顫抖,Tremble,Steady,Core
Raiment,衣服/服裝,Clothing,N/A,Elite
Ramble,漫步/閒逛,Wander,Stay,Core
Rank,等級/繁茂的,Level,N/A,Core
Rare,稀有的,Uncommon,Common,Core
Receive,收到。e在i前,Get,Send,Core
Recite,背誦/朗誦,Repeat,N/A,Core
Recognise,認出。注意中間有-g-,Identify,Ignore,Core
Recommend,一C雙M。推薦,Suggest,Reject,Core
Refuse,拒絕/垃圾,Reject,Accept,Core
Release,釋放/發布,Free,Hold,Core
Relevant,相關。注意字尾-ant,Related,Useless,Elite
Reluctant,不情願,Unwilling,Eager,Core
Repent,後悔/懺悔,Regret,Celebrate,Elite
Reprimand,訓斥/斥責,Scold,Praise,Elite
Reserve,預訂/保留,Keep,Release,Core
Reside,居住。與 Residence 相關,Live,Depart,Core
Resolve,解決/下定決心,Settle,Hesitate,Core
Resort,求助/渡假勝地,Turn to,N/A,Core
Restaurant,餐廳。注意-au-拼寫,Eatery,Home,Core
Restore,恢復/修復,Repair,Damage,Core
Restrain,抑制/克制,Control,Release,Elite
Retain,保留/保持,Keep,Lose,Core
Retreat,撤退/退後,Withdraw,Advance,Core
Reveal,透露/顯露,Show,Hide,Core
Revive,使蘇醒/恢復,Recover,Die,Core
Rhyme,韻律。注意-hy-拼寫,Verse,Prose,Core
Rhythm,節奏。注意只有Y一個元音,Beat,Silence,Elite
Ridiculous,荒謬的,Absurd,Sensible,Core
Rigid,硬的/嚴格的,Stiff,Flexible,Core
Roam,漫遊/閒逛,Wander,Stay,Core
Robust,強壯的/結實的,Strong,Weak,Elite
Rogue,惡棍/流氓,Villain,Hero,Elite
Rowdy,吵鬧的/粗魯的,Noisy,Quiet,Core
Rural,農村的/田園的,Country,Urban,Core
Sacred,神聖的,Holy,Cursed,Core
Sacrifice,犧牲。注意-cri-拼寫,Offer,Keep,Elite
Sane,神智正常的,Rational,Insane,Core
Sanitary,衛生的/清潔的,Hygienic,Dirty,Core
Satin,緞子。形容平滑,Silky,Rough,Core
Scanty,缺乏的/不足的,Meagre,Ample,Elite
Scarcity,缺乏,Shortage,Plenty,Elite
Score,得分/二十個,Result,N/A,Core
Scripture,經文/聖典,Text,N/A,Elite
Secretary,秘書。Secret+ary,Assistant,Boss,Core
Secure,安全的/穩固的,Safe,Loose,Core
Seize,抓住。e 在 i 前,Grab,Release,Elite
Seldom,很少/不常,Rarely,Often,Core
Separate,分開。中間是 a-r-a,Split,Join,Core
Sermon,佈道/說教,Speech,N/A,Core
Shoulder,肩膀。注意-oul-音,Joint,Foot,Core
Shrine,神龕/聖地,Holy place,N/A,Elite
Shrink,收縮/縮水,Contract,Expand,Core
Signature,簽名。Sign+ature,Autograph,Blank,Core
Sincere,真誠的,Honest,Fake,Core
Sleek,光滑的/苗條的,Smooth,Rough,Core
Slope,斜坡,Incline,Flat,Core
Sly,狡猾的,Cunning,Honest,Core
Sober,清醒的/嚴肅的,Serious,Drunk,Core
Soldier,士兵。注意中間有-i-,Warrior,Civilian,Core
Sow,播種。與 Sew(縫) 同音,Plant,Harvest,Core
